,Stopped early?,BLEU,SARI,FKGL,loss,nll_loss,warmup_updates,parametrization_budget,beam,dropout,fp16,label_smoothing,lr,lr_scheduler,max_epoch,max_tokens,optimizer,LengthRatio,Levenshtein,WordRank,DepTreeDepth
59,,0.11,17.02,4.75,1.985,0.448,4000,256,8,0.52267883,FALSE,0.09006938,0.88567111,fixed,100,5000,adam,0.13697385,0.71497269,0.40850312,0.58110205
60,,58.9,34.39,7.22,3.103,1.375,4000,256,7,0.31647263,FALSE,0.11309436,0.06789796,fixed,100,5000,adam,0.63566559,0.76770386,0.14912233,0.2258697
61,,0.06,18.1,7.99,12.819,6.942,4000,256,8,0.79954987,FALSE,0.90232821,0.59409605,fixed,100,5000,adam,0.95517682,0.90439238,0.57794909,0.43473388
62,,4.37,20.82,0.17,11.612,8.818,4000,256,10,0.27617704,FALSE,0.52854435,0.0000349,fixed,100,5000,adam,0.44899696,0.2737753,0.07290494,0.74300094
63,,7.36,22.74,5.41,10.114,9.442,4000,256,4,0.7514972,FALSE,0.13813359,0.00788109,fixed,100,5000,adam,0.67227328,0.44184346,0.01382927,0.3823766
64,,83,39.46,7.5,13.544,13.4,4000,256,2,0.93761351,FALSE,0.55591264,0.0000487,fixed,100,5000,adam,0.74780667,0.96770866,0.48898006,0.98223764
65,,0.28,19.19,4.05,8.213,7.427,4000,256,3,0.77077443,FALSE,0.09964163,0.0504883,fixed,100,5000,adam,0.39033208,0.34190636,0.98250386,0.80155022
66,,0.02,16.58,5.58,4.933,0.599,4000,256,8,0.30179148,FALSE,0.29660231,0.67340151,fixed,100,5000,adam,0.65399205,0.05044484,0.87398865,0.51054472
67,,27.92,27.85,3.05,12.154,10.385,4000,256,4,0.59173519,FALSE,0.50998938,0.00019929,fixed,100,5000,adam,0.22282223,0.89636138,0.08322434,0.23739514
68,,0.06,17.23,7.28,10.807,2.082,4000,256,6,0.01045068,FALSE,0.74917123,0.84927974,fixed,100,5000,adam,0.75029751,0.01386792,0.75862961,0.49471907
69,,2.51,19.77,0.9,13.211,11.016,4000,256,10,0.75575028,FALSE,0.93973913,0.02074248,fixed,100,5000,adam,0.2450982,0.34439626,0.61800777,0.39238943
70,,0.03,16.93,5.72,5.097,1.346,4000,256,3,0.70522054,FALSE,0.26186191,0.91603093,fixed,100,5000,adam,0.30232767,0.19582555,0.05649772,0.53434254
71,,59,37.23,5.84,13.795,13.795,4000,256,9,0.99438512,FALSE,0.82315962,0.73734148,fixed,100,5000,adam,0.80748268,0.68104771,0.63477264,0.74154427
72,,19.6,26.11,1.9,12.936,10.603,4000,256,5,0.70307358,FALSE,0.79881453,0.00332587,fixed,100,5000,adam,0.2022316,0.85884389,0.08062968,0.6712436
73,,8.79,23.59,4.46,12.835,11.648,4000,256,10,0.67116969,FALSE,0.56127109,0.00000445,fixed,100,5000,adam,0.70041028,0.36165825,0.29345092,0.00429993
74,,0.03,16.52,7.98,6.598,4.001,4000,256,8,0.79154986,FALSE,0.2229814,0.41749018,fixed,100,5000,adam,0.30100391,0.05739326,0.37027372,0.7280664
75,,47.4,32.18,4.11,13.738,13.718,4000,256,2,0.98750562,FALSE,0.46029549,0.04667679,fixed,100,5000,adam,0.32923789,0.8151281,0.84981755,0.50359414
76,,8.36,21.29,5.26,12.878,7.938,4000,256,2,0.6882357,FALSE,0.89578045,0.09318541,fixed,100,5000,adam,0.31529962,0.89000224,0.07379145,0.92864197
77,,1.79,18.88,0,9.276,8.195,4000,256,5,0.04625198,FALSE,0.17759434,0.00015014,fixed,100,5000,adam,0.57136656,0.16545591,0.94864959,0.83826385
78,,73.45,37.21,8.13,9.663,8.34,4000,256,2,0.70181615,FALSE,0.21560961,0.00356229,fixed,100,5000,adam,0.87045221,0.95821927,0.13094421,0.07176892
79,,93.39,35.98,8.87,10.772,7.823,4000,256,7,0.45184119,FALSE,0.47344952,0.00050489,fixed,100,5000,adam,0.91509179,0.92719215,0.28419045,0.1381349
80,,33.28,32.08,5,13.534,12.825,4000,256,10,0.81228911,FALSE,0.85774373,0.0000659,fixed,100,5000,adam,0.72217318,0.48804315,0.00849233,0.13946794
81,,8.77,22.65,2.23,11.582,5.645,4000,256,2,0.22711086,FALSE,0.72962489,0.00871905,fixed,100,5000,adam,0.17867628,0.69961387,0.43688991,0.50295637
82,,1.74,18.65,0,9.307,8.686,4000,256,5,0.25275382,FALSE,0.1137708,0.0000685,fixed,100,5000,adam,0.31626518,0.16078679,0.35835942,0.18867276
83,,0.06,16.74,5.59,11.235,5.586,4000,256,7,0.25856396,FALSE,0.68103303,0.00780283,fixed,100,5000,adam,0.2532431,0.11575729,0.77774097,0.6890532
84,,5.08,21.14,0,11.388,10.353,4000,256,4,0.83868252,FALSE,0.28384515,0.00991423,fixed,100,5000,adam,0.19431769,0.31172264,0.27725618,0.04438021
85,,22.93,27.17,2.2,12.379,11.956,4000,256,5,0.87786095,FALSE,0.24279423,0.00459273,fixed,100,5000,adam,0.22499829,0.8749507,0.73878156,0.07258635
86,,76.21,39.31,6.98,11.127,8.107,4000,256,6,0.68999496,FALSE,0.50930098,0.00774103,fixed,100,5000,adam,0.68442895,0.88102725,0.78766431,0.13107317
87,,0.05,16.93,3.53,5.63,0.873,4000,256,8,0.4421466,FALSE,0.33436069,0.90108779,fixed,100,5000,adam,0.15125791,0.32163712,0.29142916,0.96002894
88,,0.03,16.82,3.75,12.613,7.722,4000,256,8,0.09576829,FALSE,0.84117399,0.00359421,fixed,100,5000,adam,0.04002672,0.24785395,0.71646186,0.5836323
89,,40.28,31.69,3.22,13.563,13.434,4000,256,5,0.94737203,FALSE,0.55595266,0.0000892,fixed,100,5000,adam,0.45669325,0.62108613,0.49623694,0.58674505
90,,27.75,28.7,2.81,11.677,11.587,4000,256,3,0.78136546,FALSE,0.04216467,0.00099334,fixed,100,5000,adam,0.39868738,0.49893018,0.66502523,0.14369291
91,,4.9,21.07,2.64,12.714,6.656,4000,256,4,0.13249436,FALSE,0.88812296,0.00867482,fixed,100,5000,adam,0.17038289,0.56711976,0.15626862,0.10089788
92,,2.08,20.04,0,11.644,8.493,4000,256,7,0.01221699,FALSE,0.54531234,0.0000587,fixed,100,5000,adam,0.84240458,0.16609166,0.44977098,0.01121564
93,,28.44,28.82,2.47,7.54,6.353,4000,256,4,0.42888492,FALSE,0.13995321,0.0050597,fixed,100,5000,adam,0.32735444,0.50548324,0.48183988,0.78515141
94,,0.01,16.65,5.38,1.488,0.31,4000,256,6,0.42013247,FALSE,0.06671906,0.64614524,fixed,100,5000,adam,0.60120153,0.12109188,0.1868962,0.26484255
95,,19.78,26.4,1.53,11.219,9.618,4000,256,5,0.45046914,FALSE,0.36595102,0.0000576,fixed,100,5000,adam,0.26382662,0.43173501,0.77320536,0.22853332
96,,92.02,36.97,8.38,12.949,10.346,4000,256,3,0.6518244,FALSE,0.80570815,0.00029723,fixed,100,5000,adam,0.79404285,0.92762688,0.30340909,0.14080309
97,,17.26,28.57,5.52,10.064,7.854,4000,256,8,0.10873783,FALSE,0.34635971,0.00016883,fixed,100,5000,adam,0.83088276,0.40201658,0.23636013,0.56277707
98,,29.9,29.28,2.86,9.787,8.754,4000,256,5,0.40959293,FALSE,0.19517619,0.0000944,fixed,100,5000,adam,0.39764489,0.49156624,0.57002457,0.96074818
99,,1.05,19.7,0,13.798,13.797,4000,256,3,0.99497599,FALSE,0.69062727,0.00056013,fixed,100,5000,adam,0.82696263,0.14486353,0.14041884,0.82388268
100,,53.52,33.68,4.19,13.573,13.218,4000,256,10,0.89045883,FALSE,0.83349251,0.00000869,fixed,100,5000,adam,0.35468904,0.85759259,0.66461636,0.64786919
101,,51.71,33.34,4.3,12.959,8.708,4000,256,10,0.28798755,FALSE,0.86040439,0.00059056,fixed,100,5000,adam,0.37582723,0.87897385,0.47112575,0.07134481
102,,0.06,16.94,6.77,2.013,0.198,4000,256,4,0.05182363,FALSE,0.10986732,0.71180377,fixed,100,5000,adam,0.83069656,0.12886225,0.99039729,0.36069929
103,,0,16.19,8.4,8.564,7.973,4000,256,9,0.96619948,FALSE,0.06982306,0.64955151,fixed,100,5000,adam,0.29785367,0.56565438,0.09874995,0.68509313
104,,21.23,26.8,1.69,13.4,12.948,4000,256,7,0.82424145,FALSE,0.63794458,0.000007,fixed,100,5000,adam,0.27472636,0.70335296,0.51216349,0.87215413
105,,0.11,17.74,7,5.108,1.076,4000,256,5,0.66372123,FALSE,0.27924436,0.92979493,fixed,100,5000,adam,0.86016703,0.45877121,0.74606386,0.93722431
106,,29.12,31.21,6.37,10.593,7.045,4000,256,10,0.65657163,FALSE,0.49758766,0.03067013,fixed,100,5000,adam,0.77612509,0.80204489,0.32901343,0.93510588
107,,0.11,17,4.71,5.887,0.731,4000,256,5,0.16214279,FALSE,0.36510894,0.8181394,fixed,100,5000,adam,0.13083068,0.79828917,0.62415731,0.30631058
108,,7.95,22.85,1.28,10.922,8.288,4000,256,10,0.2298748,FALSE,0.44894362,0.0000456,fixed,100,5000,adam,0.13532296,0.59381143,0.74013276,0.14132614
109,,12.9,25.21,4.27,13.31,12.194,4000,256,2,0.94425155,FALSE,0.79952716,0.08098194,fixed,100,5000,adam,0.66491667,0.47742903,0.4070788,0.82047997
110,,0.2,18.29,3.71,4.947,2.084,4000,256,8,0.72950213,FALSE,0.20492504,0.59500067,fixed,100,5000,adam,0.58253574,0.67325041,0.31068905,0.37036779
